min,max,rainToday,rainTomorrow
12.4,16.4,1,0
3,15.6,0,0
2.6,19.7,0,0
3.7,19.1,0,0
5.1,18.6,0,0
4.4,19.8,0,0
4.7,19.8,0,0
6.2,22.9,0,0
6.7,21.1,0,0
9.3,20.3,0,1
11.6,18.1,1,0
8,16.2,0,0
2.6,15.7,0,0
2.2,16.5,0,0
2.2,16.8,0,0
1.7,17.1,0,1
8,14.3,1,1
8.4,13.4,1,1
10.6,14.3,1,1
8.9,17.4,1,0
2.8,16.1,0,0
1.7,10.5,0,1
4.7,11.6,1,1
9,12,1,1
6.3,8.8,1,1
3,10.5,1,0
-2,9.6,0,0
-1.3,8.2,0,0
1.8,12.4,0,0
2,15.8,0,0
0.5,14.9,0,0
1.2,17.7,0,0
0.6,15.9,0,0
0.5,14.7,0,0
0.5,15.3,0,0
0.9,17.3,0,1
7,17,1,1
5,14.9,1,0
3.9,15.5,0,1
7.7,14.1,1,0
4.7,12.2,0,1
6.9,13.7,1,0
8.4,11.9,0,1
9.3,12.3,1,1
8.2,15.7,1,1
9.1,16.1,1,1
8.3,13.3,1,1
8.8,11.6,1,1
7.6,12,1,0
5.7,13.2,0,0
3.4,12.4,0,0
0,12.1,0,0
-1.5,12.5,0,0
-1.7,13.8,0,0
-0.4,15,0,0
0.1,13.5,0,0
4.8,13.3,0,0
8.1,16.5,0,0
5.9,13.1,0,1
6.9,11,1,1
2.9,12.6,1,0
-0.6,13.4,0,0
-0.3,14.4,0,0
-1,12,0,0
3.2,14.1,0,0
3.6,16.5,0,0
0.8,17.7,0,0
6.6,12.3,0,1
6,13.5,1,0
-0.1,12.9,0,0
-0.3,12.2,0,0
2.1,9.8,0,0
1.3,8.8,0,1
4.2,12.7,1,1
8.3,13.2,1,0
3.3,12.1,0,1
6.5,14.5,1,0
7.4,13.9,0,0
7.5,14.1,0,0
8.3,13.8,0,0
3.2,14.7,0,1
5.7,13.8,1,0
5.1,17.1,0,0
8,13.9,0,1
-0.8,12.9,1,0
-1,12.2,0,0
1.9,14.8,0,0
5.9,17.7,0,1
6.9,14.3,1,0
7.7,11.6,0,1
6.8,15.2,1,0
2.7,17.5,0,1
5.1,15.5,1,1
4.2,13.6,1,0
0.6,15.6,0,0
1.6,16.4,0,0
5.5,18.4,0,0
7.3,14.8,0,1
0.2,14.1,1,1
5.8,18.9,1,1
8.9,17.1,1,1
7.1,12.8,1,1
4.2,14.4,1,0
1.1,16.7,0,0
1.1,18.6,0,1
7.2,17.9,1,1
6.3,11.1,1,1
6.7,14.2,1,1
5.1,14.2,1,0
1,16.8,0,0
6.1,20.7,0,1
6.3,16.9,1,0
2.1,15,0,0
1.6,16.6,0,0
8.3,17.6,0,0
5.7,16.5,0,0
7.5,14.3,0,0
NA,18.8,0,0
6.5,24.7,0,0
13.2,25.1,0,0
4.3,17.8,0,0
1.6,17.2,0,0
2.8,21.1,0,0
6.3,19,0,1
7.4,20.4,1,0
5.4,20.6,0,0
8,18.9,0,0
3.7,19,0,1
11.5,20.2,1,1
9.3,16.8,1,1
8.2,18.2,1,0
5.3,20.6,0,1
6.8,12.2,1,1
4.5,12.9,1,0
5.5,17.9,0,0
1.7,17,0,0
4,21.4,0,0
8.9,21.1,0,0
11.7,22,0,1
8.5,13.5,1,1
9.6,16.2,1,0
8.3,19.7,0,0
5.2,16.2,0,1
3.8,15.9,1,0
1.2,16.3,0,0
3.2,18.2,0,0
4.6,19,0,0
6.4,18.7,0,0
5.8,23.3,0,1
6.6,17.7,1,1
9.5,15.1,1,1
9.7,15.7,1,1
4.1,16.6,1,0
4.6,19.2,0,0
5.1,20.3,0,0
5.1,22.7,0,0
6.9,26.6,0,0
8.8,27.1,0,0
9.1,27.1,0,0
8.1,23.9,0,0
7.4,25.4,0,0
10.6,23.1,0,0
10.8,22,0,0
5.9,24.1,0,0
11.3,26.8,0,0
14.5,26.9,0,0
13.7,29.1,0,0
15.6,30.8,0,0
17.8,34,0,0
18.7,32.4,0,0
18.7,24.3,0,0
10,23.2,0,0
6.6,25.3,0,0
10.8,27.9,0,0
11.3,29.8,0,0
13.5,31.8,0,0
15.4,33.4,0,0
15.9,35.2,0,0
17.1,36,0,0
16.7,35.1,0,0
18.1,32.8,0,0
13.4,35.4,0,0
17.2,36.3,0,0
15.3,35.1,0,0
12.1,30.5,0,0
11.4,33.5,0,0
18.6,39.7,0,0
15.3,38.2,0,1
19.3,21,1,1
18.3,28.3,1,0
11.9,23.6,0,0
12.8,25.8,0,0
17.2,32.9,0,0
21,34.5,0,1
15.9,26.2,1,0
17.1,26.4,0,1
12.8,22.3,1,1
13.2,23.9,1,0
12.3,23.6,0,0
10.6,27,0,0
11.4,31.5,0,0
12.3,27.5,0,0
10.7,26.7,0,0
11.1,30.7,0,0
13.4,31.9,0,0
18.2,24.9,0,1
9.2,25.4,1,0
14.2,27.4,0,0
9.2,22.6,0,0
9,26.5,0,0
11.8,29.6,0,0
13.6,32,0,0
13.1,34.7,0,0
14.6,38.6,0,0
14.5,40.3,0,1
12.2,26.4,1,0
11.1,29.2,0,0
12,31.3,0,0
12.7,33.7,0,0
15.1,36.6,0,0
18.1,38.2,0,0
22.9,34.6,0,1
18.8,28.3,1,0
17.1,31.3,0,0
17.6,27.3,0,0
17.8,35.9,0,0
18.7,35.9,0,0
19.8,36.8,0,0
21.1,33.2,0,1
19.4,31.9,1,1
18.6,29.1,1,0
12.2,29.7,0,0
14.8,32.8,0,0
15,35.8,0,0
16.3,33.8,0,0
15,33,0,0
17.4,36.4,0,0
19.6,39.8,0,0
20.6,42.2,0,0
21,42.2,0,0
24.5,42.4,0,0
22.6,28.4,0,1
15.7,31.7,1,0
17.2,36.3,0,0
21.8,36.6,0,0
16.8,25.6,0,0
10.5,22.6,0,0
8.7,25.2,0,0
11,32.9,0,0
15.4,37.3,0,0
19.2,41.8,0,0
24.7,35.4,0,0
14.4,33.7,0,0
14.3,35.8,0,0
15.1,35.9,0,0
17.7,36.4,0,0
15.2,34.4,0,0
16,35.2,0,0
18.9,36.5,0,0
21.7,36.3,0,0
21,38.2,0,1
17.8,34.3,1,0
17.9,35.6,0,0
23.5,32,0,1
19.2,26.1,1,1
19.5,30.3,1,0
20.3,33.9,0,0
23,34,0,0
21.7,35.6,0,0
22.5,29.1,0,0
20.8,27.1,0,0
20.5,30.3,0,0
17.8,26.8,0,0
17.6,29,0,0
NA,31.2,0,0
16.4,30.3,0,0
15.7,31.8,0,0
19.6,34.7,0,1
20.2,26.4,1,0
12.5,26.1,0,0
12.8,28.5,0,0
15,31,0,0
NA,26.3,0,1
18.2,29.3,1,0
11.2,28.5,0,0
12.5,31.2,0,0
15.1,NA,0,0
NA,22.3,0,1
18.8,30.3,1,1
18.3,22.9,1,1
18.1,25.5,1,1
15.7,22.4,1,0
12.3,24.4,0,0
10.6,25,0,0
11.5,25.7,0,0
12.2,26.3,0,0
13.2,26.6,0,0
12.5,28.6,0,0
13.3,29.6,0,0
15.1,30.4,0,0
14.9,31.4,0,0
16.7,31.9,0,0
16.8,25.6,0,0
9.1,25.3,0,0
8.3,27,0,0
10.5,28.8,0,0
11.6,29.6,0,0
12.6,30,0,0
15.6,30.2,0,0
17.2,28.7,0,1
18.2,26.3,1,0
16.5,26.9,0,0
13.4,26.1,0,0
11.6,25.8,0,0
10,25.1,0,0
12.4,24.8,0,0
12.5,24.8,0,0
10.3,25.3,0,0
10.6,24.7,0,1
15.7,23.4,1,1
13.5,23.1,1,0
10.1,21.9,0,0
14.1,18.6,0,1
14.2,18.7,1,0
5.6,17.4,0,0
4.6,19.9,0,0
5.1,21.9,0,0
6.1,23.5,0,0
7.7,24.7,0,0
8.5,25.4,0,0
10.1,25.1,0,0
11.2,25.9,0,0
11.8,25.2,0,0
12.3,27.5,0,0
11.4,27.3,0,0
11.3,29,0,1
15.4,19.8,1,1
10.8,18.5,1,0
5.1,17.9,0,0
7.1,16.1,0,1
9.7,17.3,1,0
10.5,17.7,0,0
5.6,19.1,0,0
5.9,21.1,0,0
4.8,20.7,0,0
6.8,23,0,0
8,25.3,0,1
8.9,14.5,1,0
7.1,15.3,0,0
5.7,17.5,0,0
9.6,19.3,0,0
5.7,19.5,0,0
5,19.8,0,0
3,15.6,0,0
1.3,14.9,0,0
1,17.1,0,0
3.1,17.7,0,0
2.2,18.4,0,0
1.7,17.5,0,0
4.5,17,0,0
1.6,19.7,0,0
1.4,18.5,0,0
2.1,16.5,0,0
1.7,17.9,0,0
1.1,17.1,0,0
0.9,18.1,0,0
5.2,16.3,0,1
10.2,14.9,1,1
8.4,19,1,0
5.7,16.6,0,0
6.4,17,0,1
9.4,15,1,1
8.8,20.2,1,0
10.7,19.1,0,0
4.2,16.6,0,0
4.3,17.7,0,0
3.4,17.7,0,0
3.1,18.4,0,0
1.7,10.2,0,0
5,15.8,0,0
0.4,14,0,0
3.1,12.2,0,0
5.3,8.4,0,1
4.9,12.9,1,0
7.2,13.2,0,0
0,13.3,0,0
-1,13.1,0,0
-2,13.2,0,0
-0.3,12.8,0,0
1.5,15.5,0,1
7.4,16.2,1,1
3,12.2,1,1
6.9,15.2,1,0
3.6,13.1,0,0
5,12.5,0,0
3,14.8,0,0
3.5,16.5,0,0
3.4,17,0,0
7,16.1,0,1
6.2,12.1,1,0
0.6,11.9,0,0
-0.6,8.3,0,0
2.3,9.4,0,0
5.1,9.8,0,1
3.2,11.9,1,0
0.2,10.9,0,0
1,10.3,0,0
1.5,10.8,0,0
1.8,12.1,0,1
2.3,13.9,1,0
1.5,13.5,0,0
2.1,14.8,0,0
0,14.6,0,0
1.5,16.1,0,1
5,15.4,1,0
3.5,15.3,0,0
3.5,16.3,0,1
6.2,10,1,1
3.4,12.2,1,0
0.6,13.1,0,0
-0.4,11.5,0,0
0.7,12.8,0,1
5,13.5,1,0
0.5,11.6,0,0
0.6,12.9,0,0
-0.5,13.8,0,0
0.1,15.7,0,0
1,14.6,0,0
2.5,14.3,0,0
1.9,14.9,0,0
-1.2,15,0,0
2.1,12.6,0,1
5.8,14.8,1,0
8.9,14.9,0,1
7.5,12.3,1,1
7.5,10.1,1,1
5.4,14.7,1,0
1.2,15.7,0,0
NA,11.8,0,0
0.7,12.6,0,0
-0.6,13.1,0,0
-1.3,12.6,0,0
0.3,15.5,0,1
4.4,16,1,1
7.2,10.4,1,1
4.5,14.9,1,0
1.6,15,0,0
3.2,13,0,1
7.2,12.1,1,1
6.4,11.8,1,1
-1,12.1,1,0
1.3,11.8,0,1
5,15.1,1,1
4.5,11.7,1,0
6.3,12.9,0,0
2.1,15.3,0,0
4.1,12.8,0,1
6.4,13.3,1,1
4.2,10.7,1,1
5.4,11.8,1,1
6.8,13.4,1,0
0.9,14.4,0,0
1.9,15.2,0,0
2.3,15.4,0,0
2.9,14.2,0,0
7.1,15.1,0,0
10,16.8,0,0
7.1,17.6,0,1
10.1,17.7,1,1
9.8,14.2,1,1
6.8,12.8,1,1
2.3,15.1,1,0
1.7,15.9,0,0
7.2,14.7,0,1
8.1,14,1,1
2.6,15.9,1,0
4.5,16.3,0,0
6,18.7,0,0
5.8,19,0,0
5.5,13.6,0,0
7.5,13.4,0,0
4.3,14.3,0,0
3.3,13.9,0,0
2.4,16.4,0,0
2.8,18.7,0,0
5,19.6,0,0
8.6,20.1,0,0
5.7,19.9,0,0
3.7,19.1,0,0
5.6,19.7,0,0
5.4,20.6,0,0
6.5,20,0,0
5.4,14.6,0,0
3.7,14.3,0,0
-0.1,14.6,0,0
4.1,17.4,0,0
4.8,21.1,0,0
7.4,23,0,0
8.2,23.2,0,0
10.1,25.9,0,0
11.1,24.9,0,1
7.3,15.9,1,0
4.2,19,0,0
5.4,20.8,0,0
8.2,23.2,0,0
7.6,23.7,0,0
14.5,19.9,0,1
14.7,18,1,1
12.7,19.1,1,1
13.8,18.6,1,1
4.8,12.8,1,0
6.3,15.4,0,0
9.2,17.4,0,0
4.8,19,0,0
5.7,21.8,0,0
8,23.3,0,0
9.5,25.8,0,0
14.8,19,0,1
8.2,22.2,1,0
10.9,22.2,0,0
8.8,23.5,0,1
10.2,22.3,1,0
8.8,23.6,0,0
10.3,25.6,0,1
16,19.5,1,1
13.8,18.7,1,1
10.2,18.9,1,0
7.1,20.3,0,0
10.7,18,0,0
10.1,18.8,0,0
11.1,21,0,0
7.5,22.9,0,0
9.3,24.5,0,1
14.7,24.7,1,0
11.6,27.7,0,0
15.5,29,0,0
15.2,30.5,0,0
17.5,31.3,0,0
21.1,26.9,0,1
19.2,22.6,1,1
15.9,23.1,1,0
11.4,20.8,0,0
8.8,23.3,0,0
9.1,24.8,0,0
12.1,25.5,0,0
12,27.3,0,0
12.7,29.7,0,0
14.7,29.9,0,0
14.8,29.4,0,0
18.1,30.1,0,0
18.9,27.6,0,1
17.9,24.2,1,1
14.8,27.6,1,1
17.8,21.4,1,1
13.6,22.6,1,1
14.4,23.3,1,1
16.7,23.9,1,0
16.1,26.6,0,1
15.7,27.3,1,1
17.3,29.9,1,0
16.6,31.6,0,0
18.9,30.4,0,0
21.3,29.8,0,1
20.3,29.7,1,1
18,26.7,1,0
16.7,22.5,0,0
11.2,24.3,0,0
15,22.2,0,0
10.5,26.2,0,0
13.7,28.8,0,0
16.1,31.1,0,0
15.1,25.6,0,0
10.3,25.9,0,0
14,20.8,0,1
10.4,18,1,1
8.6,20.5,1,1
9.9,21.2,1,0
9.4,25.9,0,0
12.3,29.2,0,0
13.9,30.8,0,0
19.3,29.1,0,0
17.5,30,0,0
11.3,22.2,0,0
9.1,26.7,0,0
13.5,31,0,0
14.8,34,0,0
15.7,38.1,0,0
23.2,35.8,0,0
20.1,31.1,0,0
13.6,29.4,0,0
13.9,29.2,0,0
16,28.9,0,0
16.5,31.6,0,0
16.1,30.7,0,0
17.8,32,0,0
20.1,33,0,1
20.1,32,1,1
21.6,26.4,1,1
21.5,28.9,1,1
22.1,30.6,1,1
24,25.5,1,1
19.9,31.4,1,0
18.5,33.7,0,0
19.8,26.9,0,0
12.9,27.2,0,0
12.9,29.3,0,0
16.1,31.9,0,0
17.8,32.5,0,0
19.8,34.6,0,0
20.7,31.4,0,0
19.8,30.6,0,0
14.9,32,0,0
21.1,34.4,0,0
14.3,31.6,0,0
12.6,32.3,0,0
14.5,32,0,0
16.7,35.4,0,0
19.9,38.2,0,0
20.5,39.8,0,0
21.9,33.7,0,1
21.9,36,1,1
22.5,28.2,1,1
20.4,23,1,1
14.7,21.5,1,0
10.8,25.5,0,0
13.4,27.3,0,0
15,29.4,0,0
17,29.7,0,1
19.8,24.8,1,1
18.7,28.5,1,0
15.1,28.6,0,0
14.5,29.2,0,0
16.4,28,0,0
18.9,22,0,1
18.9,29.2,1,0
19.3,30.7,0,1
21.7,29,1,1
16.7,25.7,1,0
10.1,22.5,0,0
12.3,25.2,0,0
12.6,28,0,0
13.9,29.2,0,0
16.5,29.8,0,0
15.6,30.9,0,0
19.6,24.8,0,1
17.9,30,1,0
16,22.8,0,0
8.8,23.4,0,0
8.4,22.3,0,0
8.6,22.1,0,0
11.5,25,0,0
9.6,25.3,0,0
10.6,26.6,0,0
11.4,28.7,0,0
16.8,27,0,1
18.7,20.8,1,1
16.8,27,1,0
17.2,28.2,0,0
19.6,29.3,0,1
18.2,26.9,1,0
16.3,28.4,0,0
17.1,28.2,0,0
12.1,25.9,0,0
12.8,26.3,0,0
13.3,27.4,0,0
13.9,28.1,0,0
18.2,25.9,0,0
18.6,26.8,0,0
16.3,20.1,0,1
13.9,22,1,0
13.3,22.1,0,0
9.6,24.2,0,0
9.8,23,0,0
10.2,24.7,0,0
11.5,25.7,0,0
12.3,25.8,0,0
7.2,22.1,0,0
8.7,20.4,0,0
12.3,22.3,0,0
9,21.9,0,0
6.7,19,0,0
4.4,18.1,0,0
2.8,16.8,0,0
3.4,15.9,0,0
2.1,16.8,0,0
3.8,16.1,0,0
1.1,15.2,0,1
3,11,1,0
0.2,10.1,0,1
3.8,14.1,1,1
3.8,14.3,1,0
-0.7,13.7,0,0
0.8,11.2,0,0
0.5,15.8,0,0
2.3,17.9,0,0
2.7,16,0,0
4.5,18.6,0,0
3.3,20.5,0,0
5.8,22,0,1
10.2,15,1,1
8.9,15.6,1,0
3.1,14.7,0,0
1.3,14.9,0,0
1.9,13.8,0,0
2.6,13.9,0,0
2.5,14.8,0,0
3.6,15.9,0,0
2.8,19.4,0,0
3.1,19.8,0,0
2.9,17.6,0,0
4.3,18.3,0,1
8.5,14.8,1,0
2.2,12,0,1
4.9,12.8,1,0
-0.5,9.8,0,1
1.5,10.2,1,0
2.9,14.6,0,0
-1.1,14,0,0
-1.4,13.9,0,0
1,16.1,0,0
-0.3,15.9,0,0
1.7,16.7,0,0
0.5,16.9,0,0
1,16.1,0,0
3,12.6,0,0
5.7,12.5,0,0
3.3,11.8,0,1
7.6,14.6,1,1
6.6,11.6,1,0
5.9,11.1,0,1
6.2,14.2,1,0
2.9,13.1,0,0
5.5,15.5,0,0
3.2,15.7,0,0
0.9,16.4,0,0
-0.2,15.2,0,0
0.9,16.6,0,0
0.3,15.2,0,0
0.3,14.1,0,0
0.2,15.2,0,0
2.9,14.8,0,1
6.3,14.8,1,1
6.9,11.2,1,1
7,10.8,1,1
6.8,11.2,1,0
-0.5,8.3,0,1
4.3,9.2,1,0
6.4,11,0,1
4.7,11.8,1,0
5.7,10.5,0,0
7.1,9.8,0,1
-0.3,12.6,1,0
-1.6,12.1,0,0
0.2,14.1,0,0
5.3,11.1,0,1
8.4,11,1,1
0.4,14.5,1,0
0.3,16.7,0,0
3.5,17.2,0,0
6.9,15.6,0,0
0.1,14.6,0,0
1.6,9.3,0,1
5.5,13.2,1,1
4.1,14.1,1,0
0.5,14.5,0,0
0.2,13.1,0,0
-1.4,14.7,0,0
0.6,16.1,0,0
4.9,14.7,0,0
3.4,19,0,0
6.5,20.6,0,0
3.9,21.5,0,0
7.1,22.9,0,0
5.6,20.7,0,1
9.9,12.9,1,1
5.3,11.1,1,1
7.1,12.3,1,1
3.1,10.1,1,1
6.3,10.9,1,1
3.4,16.8,1,0
1.6,16.3,0,0
0.7,13.4,0,0
4.3,17.3,0,1
3.9,13.8,1,0
9,19.4,0,1
7.1,12.6,1,1
7.4,10.8,1,0
6.9,19.3,0,0
3.2,17.3,0,0
2.1,18,0,0
1.8,17.7,0,0
2.5,16.9,0,0
2.4,17.5,0,0
2.5,20.7,0,0
1.9,16.6,0,0
0.8,16.8,0,0
0.4,16.2,0,0
1.4,15.9,0,0
0.6,15.7,0,0
0.4,15.8,0,0
2.6,18.3,0,0
2.8,20.4,0,0
2.6,19.6,0,0
6.5,16.8,0,1
4.8,21.4,1,1
10.8,18.8,1,0
-0.1,14.4,0,0
0.4,15.9,0,0
2.7,14,0,0
0.9,20.8,0,0
1.7,17.2,0,0
4.4,20.8,0,0
3.7,21.7,0,0
5.5,23.9,0,0
5.3,26.7,0,0
10.1,13.6,0,1
1.7,18.2,1,0
4.4,22.1,0,0
10,18.4,0,0
1.9,18.3,0,0
8.6,19.8,0,0
3.1,19.6,0,0
7,21.3,0,0
11.5,19.2,0,1
10.7,12.3,1,1
7.5,15.5,1,1
8.2,13.5,1,1
4.2,17.6,1,0
2.9,18.3,0,0
4.1,19.3,0,0
5.6,17.8,0,0
10.2,16,0,1
11.1,21.4,1,0
8.7,21.8,0,0
10.7,18.6,0,1
5.9,16.7,0,0
2.6,20.3,0,0
5.3,23.2,0,0
10,24.3,0,0
10.3,25.5,0,0
9.1,18.7,0,0
4.3,20.3,0,0
5.2,23.7,0,0
5.7,25.7,0,0
8.3,28,0,0
11.3,24.7,0,0
13.3,25.9,0,0
11.7,30.9,0,0
18,28.4,0,1
11.9,20.6,1,0
11.7,23.3,0,0
8.8,23.8,0,0
12.4,25.9,0,1
16.7,25,1,0
9.9,20.1,0,0
6.4,23.1,0,0
9.3,24.8,0,0
11.4,22.2,0,0
9.3,22.3,0,0
8.1,26.6,0,0
9.8,29.6,0,0
13.8,32.9,0,1
15.8,28.5,1,0
16.7,30.1,0,0
15.7,31.2,0,1
13.9,22.8,1,0
9.6,25.3,0,0
12.5,27,0,0
13,28.3,0,0
16.1,28.3,0,0
11.9,29.3,0,0
16,22,0,0
12.8,27.5,0,0
15.1,31.9,0,0
19.9,29.6,0,0
17.4,22.8,0,0
8.1,23.5,0,1
11.9,22.7,1,0
10,24.4,0,0
10.8,26,0,1
15,20,1,1
15,25,1,1
15,27,1,0
12,31.5,0,0
18.4,35.9,0,1
19.2,21.6,1,1
7.2,22.9,1,0
10.6,23.6,0,0
10.2,27.1,0,0
9.7,22.9,0,0
9.6,22.5,0,0
8.5,25,0,0
12.6,26.6,0,0
15,29,0,0
13.6,29.1,0,0
17.8,25.1,0,1
15.8,28.3,1,0
10.9,26.7,0,0
12.6,24.6,0,0
11,25,0,0
11.7,27.7,0,0
14.2,28.9,0,0
14,30.7,0,0
19.3,25.6,0,1
18.7,27.8,1,0
13.4,29.9,0,0
18.6,28.5,0,0
16.4,29.6,0,0
15.2,31.3,0,0
16,33.1,0,1
17.4,26.6,1,1
17,29.4,1,0
15,29,0,0
15.2,29.4,0,0
13.8,29.7,0,0
15,30.4,0,0
15.8,31.8,0,0
15.7,34.9,0,0
17.8,36,0,0
19.7,38.9,0,0
20.5,32.5,0,0
13.3,30.6,0,0
12.6,29.2,0,0
11.7,33.4,0,1
19.1,26.1,1,1
12.7,24.6,1,0
10.8,24.8,0,0
12,19.5,0,1
6.2,25,1,0
9.9,28.3,0,0
13.3,29.4,0,0
15.1,31,0,0
16.5,31.6,0,0
18.9,33.4,0,0
16.1,30.7,0,0
17.8,36.1,0,0
20.1,36.2,0,0
18.5,35.3,0,0
20.9,33,0,0
14,32.1,0,0
16.3,32.8,0,0
17.8,35.5,0,0
17.5,36.4,0,0
19.9,35.4,0,0
19.9,34.5,0,0
20,36,0,1
20.8,29.1,1,1
15.1,27.9,1,0
14.9,28.5,0,0
15.2,29.4,0,0
17,29.8,0,0
15.5,32.5,0,0
16,33.5,0,1
11.1,25.6,1,0
10.9,28.1,0,0
12,28.9,0,0
14.8,24.6,0,1
13.8,27.4,1,0
11.5,27.8,0,1
12,29.4,1,0
13.5,29.7,0,0
14.7,31.4,0,0
15,31.9,0,0
16.9,28.3,0,0
17.6,31.3,0,0
15.9,31.2,0,0
19.6,28,0,0
16.1,21.4,0,1
13.5,28.9,1,0
14.5,30.5,0,0
13.7,32.4,0,0
14.2,34.5,0,0
15.2,36.1,0,1
17.6,25.5,1,1
18.5,28,1,1
18.8,26.6,1,0
19.5,24.8,0,1
17.1,20.9,1,1
17,25.8,1,0
18.8,19.6,0,1
16.7,24.8,1,0
11.8,25.1,0,0
12.4,26.2,0,0
15.8,23.2,0,0
15.1,24.1,0,0
12.1,27.1,0,0
10.8,25.9,0,0
10,25.8,0,0
13.1,27.8,0,0
13.7,29.9,0,0
15.5,29.3,0,1
17.2,30,1,1
19.2,20.4,1,1
12.6,24.4,1,0
10.4,25.5,0,0
11.6,26.3,0,0
12.4,28.4,0,0
16.5,27.7,0,0
8.2,22.1,0,0
11,18.3,0,0
8.9,19.7,0,0
6.2,21,0,0
7.7,23,0,0
10.6,22,0,0
13.5,23.4,0,1
9.4,25.4,1,0
11,26.5,0,0
10.2,27.6,0,0
12.6,26.3,0,0
11.1,25.9,0,0
12.9,29.9,0,0
13.1,28.1,0,0
12.7,28.5,0,0
14.5,28.6,0,0
10.1,20.4,0,0
5.4,19.1,0,0
5,18.6,0,0
1,17.5,0,0
3,20.1,0,0
4.3,21.7,0,0
4.8,22.7,0,0
6.7,19.8,0,0
9.4,25.4,0,0
8.2,26.2,0,0
9.9,24.9,0,0
13.7,26.2,0,0
16.9,21.4,0,1
14.6,22.7,1,0
11.2,25.4,0,1
14,23,1,1
12.2,22.5,1,0
10,14.2,0,0
7.3,17,0,0
5,17,0,0
5.5,19.6,0,0
5.4,19.6,0,0
4.6,18.4,0,0
4.4,19.9,0,0
6.8,20.7,0,0
